Contig Number	heinz reference (2.40)	heinz (aplg ill 250+300+500+2k+3k+4k+5k)	habrochaites (aplg ill 170+2k)	habrochaites (aplg ill 170+500+2k)+(scarpa 454 8k+20k)	pennellii (aplg ill 170+2k)	pennellii (aplg ill 170+500+2k)+(scarpa 454 3k+8k+20k)	arcanum (clc ill 170+2k 454 8k+20k) non default	arcanum (aplg ill 170+2k)	arcanum (aplg ill 170+500+2k)+(scarpa 454 8k+20k)
"1"	42121211	963611	990035	2330637	627722	1470620	241690	699688	1856562
"2"	75403391	1884483	1872350	4592230	1178749	2371744	461453	1383076	3326399
"3"	108390988	2779487	2654115	6642608	1707341	3204169	666624	1992570	4747316
"4"	139513298	3665835	3368646	8487151	2217857	4028977	863863	2601919	6078654
"5"	167736785	4488252	4063747	10172723	2693990	4819812	1053375	3205420	7393160
"6"	192901360	5280876	4751501	11733418	3157042	5591666	1238850	3780354	8620958
"7"	216192674	6065918	5404211	13271422	3619415	6358913	1422768	4344357	9806465
"8"	238615330	6824164	6050042	14803411	4079537	7118220	1604623	4892012	10966220
"9"	259260766	7548233	6667715	16223109	4527984	7871092	1785576	5430403	12125836
"10"	279720814	8261093	7283285	17613828	4972653	8599771	1963910	5952378	13247323
"11"	298962695	8928732	7893372	18975721	5415296	9326616	2142234	6467093	14349264
"12"	317569804	9594178	8502848	20315246	5843324	10051249	2319605	6965035	15421562
"13"	336164458	10249347	9106455	21650770	6265305	10773960	2494179	7456336	16491506
"14"	353760162	10893651	9707876	22968868	6684167	11480562	2668314	7945588	17523285
"15"	371161981	11524243	10292880	24269836	7101158	12164864	2842297	8434510	18524648
"16"	388113592	12124142	10861887	25550828	7517478	12838527	3015011	8922797	19522362
"17"	404581388	12710751	11424863	26830591	7932611	13508168	3186257	9410950	20499730
"18"	420673337	13274641	11987627	28080147	8345253	14174934	3356549	9894281	21470415
"19"	435849782	13831365	12546151	29311437	8756808	14841556	3521670	10377606	22413871
"20"	450491883	14387065	13099940	30502131	9162399	15498031	3686713	10853429	23356024
"21"	464878631	14935936	13640710	31677278	9544460	16130574	3845739	11324052	24295084
"22"	476609626	15482783	14180426	32836997	9919618	16759530	4003603	11782350	25222848
"23"	488202929	16028007	14709837	33995647	10287457	17387252	4159956	12236648	26141722
"24"	498498777	16562974	15238391	35136421	10654656	18010415	4316246	12690277	27057288
"25"	508133614	17093967	15748533	36236405	11021158	18632879	4471982	13139231	27972058
"26"	517344634	17617549	16241964	37322887	11387540	19249599	4627016	13586525	28876498
"27"	526136492	18141047	16734267	38408150	11747176	19862323	4781779	14024088	29773958
"28"	534737719	18636824	17226142	39485089	12102170	20473236	4936062	14458935	30666462
"29"	543155827	19122631	17715209	40545906	12455449	21070958	5089225	14884524	31558248
"30"	551379797	19588631	18203011	41595572	12797037	21666714	5242202	15308965	32445556
"31"	559357188	20052016	18689401	42640786	13137606	22256538	5394661	15733084	33325756
"32"	567305591	20508875	19170434	43685643	13476740	22833040	5546741	16151857	34204074
"33"	575252345	20963841	19650960	44725407	13811553	23408027	5697246	16564709	35081354
"34"	582780944	21418583	20125340	45752387	14145204	23982176	5847309	16977297	35955521
"35"	589804386	21873182	20591137	46776725	14476740	24556048	5995701	17386049	36828861
"36"	596794946	22321623	21048514	47793461	14806273	25127319	6143584	17793346	37687446
"37"	603341787	22765683	21503644	48785839	15134693	25695025	6291429	18199249	38545120
"38"	609876046	23208269	21952940	49773319	15462960	26256769	6438917	18603684	39390475
"39"	616399490	23649247	22399587	50736318	15788685	26817956	6584216	19006036	40234282
"40"	622725535	24085142	22844631	51686040	16111888	27374458	6729399	19407270	41073537
"41"	629019721	24520309	23285640	52634886	16434884	27929937	6873246	19806399	41911462
"42"	635180992	24951740	23721728	53578282	16752596	28485001	7016866	20204921	42743542
"43"	641243342	25380492	24151067	54512019	17068601	29035606	7159900	20603173	43574807
"44"	647014619	25805722	24575816	55431681	17383023	29584495	7302930	21000322	44401997
"45"	652764276	26230665	24998374	56345350	17691199	30132942	7445713	21396910	45226955
"46"	658482039	26649347	25420677	57255000	17999194	30672635	7587768	21791523	46043651
"47"	664004404	27067392	25839207	58162132	18306800	31209211	7729140	22171612	46850939
"48"	669350126	27484582	26254183	59067640	18613182	31744300	7870244	22547701	47655606
"49"	674530619	27897953	26666967	59968490	18919323	32279266	8010715	22918193	48455322
"50"	679442679	28310404	27077488	60865175	19223481	32812695	8149959	23288521	49250450
"51"	683748052	28722245	27487702	61745506	19525997	33341829	8288488	23658048	50036075
"52"	687864481	29132241	27894713	62623838	19828040	33870421	8426860	24026624	50819052
"53"	691895279	29538627	28297477	63501729	20129903	34398412	8564780	24393645	51601790
"54"	695827221	29943864	28698988	64366557	20431493	34925432	8701908	24755868	52382642
"55"	699221172	30347750	29100285	65230009	20732711	35452333	8838927	25116332	53158876
"56"	702323797	30745628	29501422	66092395	21033708	35977481	8974977	25476630	53934695
"57"	705364925	31138160	29902096	66953224	21334622	36501530	9110901	25836697	54702313
"58"	708327703	31529752	30302592	67808570	21634723	37024207	9246812	26195682	55465213
"59"	711053544	31920404	30702901	68660640	21934722	37535981	9382102	26552689	56227254
"60"	713775545	32309941	31101749	69510510	22234147	38044860	9516920	26908817	56982534
"61"	716409572	32698288	31499772	70354031	22533213	38551766	9651344	27264464	57719852
"62"	718970661	33081930	31896544	71189860	22830929	39057825	9785708	27619685	58456081
"63"	721518063	33465392	32291550	72023275	23126597	39560065	9919842	27974489	59189873
"64"	724029552	33848427	32686044	72851993	23418982	40060335	10053602	28323136	59921999
"65"	726537286	34227442	33078068	73680022	23709771	40560522	10187168	28671767	60646835
"66"	729017021	34605857	33469492	74497250	24000245	41058951	10319830	29018456	61369517
"67"	731422562	34983221	33857917	75314121	24290343	41555361	10452375	29364844	62090965
"68"	733614511	35358194	34245584	76127759	24579523	42051423	10584612	29711230	62811390
"69"	735718471	35732821	34631824	76936638	24867367	42539042	10715891	30054933	63524947
"70"	737816637	36097032	35015202	77735444	25155015	43026615	10847138	30397860	64233539
"71"	739841390	36461171	35398393	78533030	25442471	43510767	10978294	30739701	64937929
"72"	741814238	36824239	35780203	79328549	25729257	43991922	11107486	31079734	65640965
"73"	743779923	37182378	36161081	80118614	26016036	44471975	11235596	31418656	66343126
