Contig Number	S. lycopersicum cv Heinz (2.40)	S. lycopersicum cv Heinz (aplg ill 250+300+500+2k+3k+4k+5k)	S. habrochaites (aplg ill 170+500+2k)	S. pennellii (aplg ill 170+500+2k)	S. arcanum (aplg ill 170+500+2k)
"1"	42121211	963611	990615	627531	683045
"2"	75403391	1884483	1886056	1181977	1293092
"3"	108390988	2779487	2768770	1710534	1902564
"4"	139513298	3665835	3586711	2210208	2506078
"5"	167736785	4488252	4324827	2685473	3090379
"6"	192901360	5280876	5061378	3147991	3664058
"7"	216192674	6065918	5754705	3608370	4228111
"8"	238615330	6824164	6442396	4064922	4777295
"9"	259260766	7548233	7094961	4513222	5313885
"10"	279720814	8261093	7741736	4957991	5835338
"11"	298962695	8928732	8381521	5379906	6351928
"12"	317569804	9594178	9020910	5800394	6841921
"13"	336164458	10249347	9629727	6219896	7331736
"14"	353760162	10893651	10230675	6636744	7820702
"15"	371161981	11524243	10815158	7048201	8308961
"16"	388113592	12124142	11387129	7458251	8797020
"17"	404581388	12710751	11950952	7866820	9273583
"18"	420673337	13274641	12514347	8272809	9744223
"19"	435849782	13831365	13077432	8654793	10213840
"20"	450491883	14387065	13636028	9032333	10669993
"21"	464878631	14935936	14187500	9407227	11123821
"22"	476609626	15482783	14728522	9775306	11575670
"23"	488202929	16028007	15268656	10141582	12025902
"24"	498498777	16562974	15798901	10501308	12475588
"25"	508133614	17093967	16311495	10856104	12910508
"26"	517344634	17617549	16820141	11210056	13336164
"27"	526136492	18141047	17325715	11556933	13760240
"28"	534737719	18636824	17821405	11899161	14182331
"29"	543155827	19122631	18315399	12241293	14600571
"30"	551379797	19588631	18808648	12582540	15017971
"31"	559357188	20052016	19300368	12923102	15426760
"32"	567305591	20508875	19789427	13260837	15832775
"33"	575252345	20963841	20277478	13596183	16237638
"34"	582780944	21418583	20763757	13931483	16638911
"35"	589804386	21873182	21244887	14264845	17037958
"36"	596794946	22321623	21725620	14596376	17436471
"37"	603341787	22765683	22199963	14925707	17834712
"38"	609876046	23208269	22666677	15254270	18231994
"39"	616399490	23649247	23133030	15582547	18626589
"40"	622725535	24085142	23592136	15908235	19019914
"41"	629019721	24520309	24050062	16233876	19399481
"42"	635180992	24951740	24499286	16559517	19778720
"43"	641243342	25380492	24944593	16884073	20153961
"44"	647014619	25805722	25380623	17208244	20525111
"45"	652764276	26230665	25808003	17530574	20896260
