"Name"	"N25"	"I25"	"N50"	"I50"	"N75"	"I75"	"N90"	"I90"	"lookup_mean"	"lookup_mean75"	"Nlookup_mean75"	"Ilookup_mean75"	"Longest"	"Shortest"	"Mean"	"Median"	"N_Contigs"	"Total_length"
"heinz reference (2.40)"	23291314	7	16467796	17	7023442	35	3041128	57	741597578	556198183	7977391	31	42121211	2000	242428	2847	3223	781345411
"heinz (aplg ill 250+300+500+2k+3k+4k+5k)"	165328	609	87131	1944	41078	4574	18768	7902	741597578	556198183	21160	7377	963611	883	35483	14872	17744	629616014
"habrochaites (aplg ill 170+2k)"	175103	694	96816	2130	48596	4785	22524	8038	741597578	556198183	47552	4886	990035	902	43409	20461	16935	735128396
"habrochaites (aplg ill 170+2k)+(opera 454 8k+20k)"	994585	141	528275	415	269737	920	124085	1529	741597578	556198183	295533	854	3252897	902	130475	9758	5873	766277628
"habrochaites (aplg ill 170+2k)+(scarpa 454 8k+20k)"	469670	269	233395	867	108282	2063	43788	3673	741597578	556198183	117581	1922	2329084	902	67530	13217	11295	762748465
"habrochaites (aplg ill 170+500+2k)"	176864	680	97427	2111	49361	4745	23010	7950	741597578	556198183	48459	4827	990615	903	44066	20901	16708	736254084
"habrochaites (aplg ill 170+500+2k)+(opera 454 8k+20k)"	613437	212	352958	634	182729	1393	83683	2310	741597578	556198183	203982	1252	3063020	903	95953	10606	8107	777894504
"habrochaites (aplg ill 170+500+2k)+(scarpa 454 8k+20k)"	487032	257	253002	819	117458	1922	47819	3402	741597578	556198183	128490	1776	2330637	903	71129	12705	10763	765557122
"pennellii (aplg ill 170+2k)"	127720	972	70347	2957	32983	6766	14539	11663	741597578	556198183	32268	6895	627722	887	27680	11008	26589	735990792
"pennellii (aplg ill 170+2k)+(opera 454 3k+8k+20k)"	358526	376	206135	1098	98924	2453	38731	4246	741597578	556198183	115182	2171	1269801	887	49209	5932	15886	781730072
"pennellii (aplg ill 170+2k)+(scarpa 454 3k+8k+20k)"	235771	544	127741	1683	58513	3920	19193	7186	741597578	556198183	66546	3519	1470620	887	35862	7953	21606	774839444
"pennellii (aplg ill 170+500+2k)"	128631	958	70609	2926	33224	6709	14641	11588	741597578	556198183	32558	6820	627531	887	27883	11066	26421	736687777
"pennellii (aplg ill 170+500+2k)+(opera 454 3k+8k+20k)"	358526	376	206135	1098	98924	2453	38731	4246	741597578	556198183	115182	2171	1269801	887	49209	5932	15886	781730072
"pennellii (aplg ill 170+500+2k)+(scarpa 454 3k+8k+20k)"	235771	544	127741	1683	58513	3920	19193	7186	741597578	556198183	66546	3519	1470620	887	35862	7953	21606	774839444
"arcanum (clc ill 170+2k 454 8k+20k) default"	21794	6410	8604	21118	3586	59036	1144	112464	741597578	556198183	3928	50777	165330	200	2532	515	309398	783340813
"arcanum (clc ill 170+2k 454 8k+20k) non default"	35814	3716	16603	12382	4517	36954	1329	83146	741597578	556198183	7346	24988	241690	200	2869	428	290145	832461203
"arcanum (aplg ill 170+2k)"	160436	729	86963	2199	42305	4992	19556	8449	741597578	556198183	32675	6194	699688	895	37243	16546	18312	681997142
"arcanum (aplg ill 170+2k)+(opera 454 8k+20k)"	551428	217	303143	650	151241	1459	65400	2473	741597578	556198183	130624	1657	1800557	895	76385	8070	9221	704345425
"arcanum (aplg ill 170+2k)+(scarpa 454 8k+20k)"	420446	292	221078	892	101738	2081	39892	3708	741597578	556198183	94239	2212	1856562	895	58224	9554	12443	724486902
"arcanum (aplg ill 170+500+2k)"	159766	725	85931	2203	41599	5035	19217	8546	741597578	556198183	31485	6313	683045	905	36468	16124	18638	679689580
"arcanum (aplg ill 170+500+2k)+(opera 454 8k+20k)"	551428	217	303143	650	151241	1459	65400	2473	741597578	556198183	130624	1657	1800557	895	76385	8070	9221	704345425
"arcanum (aplg ill 170+500+2k)+(scarpa 454 8k+20k)"	420446	292	221078	892	101738	2081	39892	3708	741597578	556198183	94239	2212	1856562	895	58224	9554	12443	724486902
